"","X.1","X","ï..DATE","TIME","BOROUGH","ZIP.CODE","LATITUDE","LONGITUDE","LOCATION","ON.STREET.NAME","CROSS.STREET.NAME","OFF.STREET.NAME","NUMBER.OF.PERSONS.INJURED","NUMBER.OF.PERSONS.KILLED","NUMBER.OF.PEDESTRIANS.INJURED","NUMBER.OF.PEDESTRIANS.KILLED","NUMBER.OF.CYCLIST.INJURED","NUMBER.OF.CYCLIST.KILLED","NUMBER.OF.MOTORIST.INJURED","NUMBER.OF.MOTORIST.KILLED","CONTRIBUTING.FACTOR.VEHICLE.1","CONTRIBUTING.FACTOR.VEHICLE.2","CONTRIBUTING.FACTOR.VEHICLE.3","CONTRIBUTING.FACTOR.VEHICLE.4","CONTRIBUTING.FACTOR.VEHICLE.5","UNIQUE.KEY","VEHICLE.TYPE.CODE.1","VEHICLE.TYPE.CODE.2","VEHICLE.TYPE.CODE.3","VEHICLE.TYPE.CODE.4","VEHICLE.TYPE.CODE.5","number_vehicles_involved"
"841",1248,6769,"11/04/2016","20:11","QUEENS",11357,40.783421,-73.8139085,"(40.783421, -73.8139085)","150 STREET","17 ROAD",,2,0,0,0,0,0,2,0,"Failure to Yield Right-of-Way","Unspecified",,,,3554066,"SPORT UTILITY / STATION WAGON","SPORT UTILITY / STATION WAGON",,,,2
"842",1249,6771,"11/04/2016","20:11","BROOKLYN",11236,40.6533796,-73.9065717,"(40.6533796, -73.9065717)","ROCKAWAY AVENUE","DITMAS AVENUE",,3,0,0,0,0,0,3,0,"Unsafe Speed","Unspecified",,,,3554162,"SPORT UTILITY / STATION WAGON","PASSENGER VEHICLE",,,,2
"843",1250,6773,"11/04/2016","20:11","MANHATTAN",10032,40.8416802,-73.9393332,"(40.8416802, -73.9393332)","BROADWAY","WEST 169 STREET",,4,0,0,0,0,0,4,0,"Unspecified","Unspecified",,,,3554746,"TAXI","TAXI",,,,2
"844",1252,6778,"11/04/2016","21:11","MANHATTAN",10016,40.7457696,-73.9704212,"(40.7457696, -73.9704212)","FDR DRIVE","EAST 38 STREET",,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Driver Inattention/Distraction",,,,3554111,"TAXI","PASSENGER VEHICLE",,,,2
"845",1253,6779,"11/04/2016","21:11","MANHATTAN",10022,40.7558237,-73.9707596,"(40.7558237, -73.9707596)","3 AVENUE","EAST 50 STREET",,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Failure to Yield Right-of-Way",,,,3554462,"SPORT UTILITY / STATION WAGON","TAXI",,,,2
"846",1254,6780,"11/04/2016","21:11","QUEENS",11378,40.726412,-73.9060291,"(40.726412, -73.9060291)","BORDEN AVENUE","60 STREET",,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Driver Inattention/Distraction",,,,3555047,"SPORT UTILITY / STATION WAGON",,,,,1
"847",1256,6793,"07/25/2015","17:50","BRONX",10462,40.8422585,-73.8551984,"(40.8422585, -73.8551984)","EAST TREMONT AVENUE","PURDY STREET",,0,0,0,0,0,0,0,0,"Unspecified","Unspecified",,,,3264892,"PASSENGER VEHICLE","UNKNOWN",,,,2
"848",1257,6800,"11/04/2016","21:11","QUEENS",11432,40.7178015,-73.8035725,"(40.7178015, -73.8035725)","82 ROAD","164 STREET",,1,0,0,0,1,0,0,0,"Alcohol Involvement","Unspecified","Unspecified",,,3554477,"PASSENGER VEHICLE","BICYCLE",,,,2
"849",1258,6811,"07/25/2015","18:30","QUEENS",11373,40.7476393,-73.8788917,"(40.7476393, -73.8788917)","ELBERTSON STREET","BRITTON AVENUE",,1,0,1,0,0,0,0,0,"Failure to Yield Right-of-Way",,,,,3265263,"PASSENGER VEHICLE",,,,,1
"850",1259,6812,"11/04/2016","21:11","BRONX",10460,40.8408545,-73.8750067,"(40.8408545, -73.8750067)","BRONX PARK AVENUE","LEBANON STREET",,6,0,0,0,0,0,6,0,"Driver Inattention/Distraction","Failure to Yield Right-of-Way",,,,3554172,"PASSENGER VEHICLE","SPORT UTILITY / STATION WAGON",,,,2
"851",1263,6828,"11/04/2016","22:11","MANHATTAN",10003,40.7310195,-73.9859102,"(40.7310195, -73.9859102)","EAST 12 STREET","2 AVENUE",,0,0,0,0,0,0,0,0,"Driver Inexperience","Passing or Lane Usage Improper",,,,3555082,"TAXI","BICYCLE",,,,2
"852",1264,6829,"11/04/2016","22:11","MANHATTAN",10023,40.7730328,-73.9821971,"(40.7730328, -73.9821971)","WEST 65 STREET","BROADWAY",,0,0,0,0,0,0,0,0,"Following Too Closely","Unspecified",,,,3554482,"SPORT UTILITY / STATION WAGON","PASSENGER VEHICLE",,,,2
"853",1265,6842,"07/25/2015","20:45","MANHATTAN",10012,40.7299883,-74.0004979,"(40.7299883, -74.0004979)","MACDOUGAL STREET","BLEECKER STREET",,0,0,0,0,0,0,0,0,"Unspecified",,,,,3264766,"PASSENGER VEHICLE",,,,,1
